year,GDP_Current_gr,GDP_Constant_gr,Broad_Money_gr,Inflation,Velocity_Money_gr
1961-12-31,0.2684097315421119,0.054278428762193354,-0.003597122302158251,0.203106975290508,0.27200685384427015
1962-12-31,0.27773825823152665,-0.008520215219033345,0.10108303249097483,0.288718416496811,0.1766552257405518
1963-12-31,0.18924528678677066,-0.05308196825391265,0.33114754098360644,0.255911543466798,-0.14190225419683578
1964-12-31,0.4181986936640736,0.10130297661543075,0.413793103448276,0.28774617319435497,0.004405590215797561
1965-12-31,0.34046569166803975,0.105694333376394,0.270034843205575,0.212329349264853,0.07043084846246472
1966-12-31,0.24774823512341926,-0.006597261706298263,0.31550068587105606,0.25603462425178003,-0.0677524507476368
1967-12-31,0.33136521532043783,0.031919966233917796,0.5380604796663191,0.290182629355813,-0.20669526434588126
1968-12-31,0.15593338270970003,0.04822500779324246,0.28067796610169515,0.102753105598205,-0.12474458339199512
1969-12-31,0.18229955440612655,0.09679526010783257,0.20910534674430914,0.0779583003393792,-0.026805792338182588
1970-12-31,0.09710506350218795,0.03045643319171143,0.2084063047285465,0.06467874639206289,-0.11130124122635854
1971-12-31,0.3869855275133689,0.05658131081849249,0.08695652173913038,0.312710638842292,0.3000290057742385
1972-12-31,0.6691937513915494,0.01628416518259379,1.1,0.642447859149364,-0.43080624860845074
1973-12-31,0.7018973249790059,0.02811754038490344,0.7460317460317463,0.65535287370144,-0.04413442105274035
1974-12-31,0.3785927447718631,0.055338043957736005,0.5454545454545452,0.30630441370412,-0.16686180068268208
1975-12-31,1.976127824592282,-0.00028412103711084047,1.5294117647058822,1.97697364543187,0.44671605988639973
1976-12-31,4.274580720722549,-0.020182515168339465,3.5348837209302326,4.38322779739816,0.739696999792316
1977-12-31,1.774162415185268,0.06934147756533426,2.2717948717948717,1.5942717769645,-0.49763245660960376
1978-12-31,1.4959441573591583,-0.04506124802013589,1.7257053291536053,1.6137217200415699,-0.229761171794447
1979-12-31,1.726658141100259,0.10222763463868123,1.8740655549166187,1.4737704403447298,-0.1474074138163597
1980-12-31,0.9876405815729954,0.015187839499017919,0.9175670268107241,0.957904246128352,0.07007355476227128
1981-12-31,0.9462295580790094,-0.05189789141355927,0.8258034223706177,1.0527636638006401,0.12042613570839178
1982-12-31,1.9236852375467572,-0.007356591591036188,1.6528559590822072,1.94535299663443,0.27082927846455007
1983-12-31,4.010410708156962,0.043490932792675574,3.959242584175265,3.80158528521919,0.05116812398169657
1984-12-31,6.223673394830578,0.01570738701820229,6.549656187965058,6.1119630389191295,-0.32598279313448053
1985-12-31,5.707378748798867,-0.05189024353439031,4.281519468317272,6.0744749783008505,1.4258592804815944
1986-12-31,0.8820169651272385,0.06153377062756937,1.1301532316698393,0.7729223668641331,-0.2481362665426008
1987-12-31,1.3369457437325347,0.027048688277055755,1.6314248715620208,1.27539918059086,-0.29447912782948604
1988-12-31,3.760010800478307,-0.01089933341337912,4.428057058996111,3.8124634440952003,-0.668046258517804
1989-12-31,28.209269921305218,-0.07156949655979528,22.35181906445822,30.4609115201119,5.857450856846999
1990-12-31,20.245730854035948,-0.024672137781047265,11.132724058892823,20.7831681806978,9.113006795143125
1991-12-31,1.6246772682132478,0.09133110567389613,1.413370403134083,1.4050237866101198,0.21130686507916474
1992-12-31,0.25284966077984117,0.0793729155643077,0.6248625438550557,0.16071993535694498,-0.3720128830752145
1993-12-31,0.0435362512780193,0.08206979072212284,0.46480825008056725,-0.0356109557576575,-0.42127199880254795
1994-12-31,0.08851833603280923,0.05836200703685268,0.17640270169185746,0.0284933971509302,-0.08788436565904822
1995-12-31,0.002298593847110064,-0.02845209610570787,-0.0280555086350307,0.0316512339016516,0.030354102482140766
1996-12-31,0.05471419699319946,0.055266898271523424,0.18820560554348953,-0.000523754965904146,-0.13349140855029007
1997-12-31,0.07609505428537044,0.081110467707457,0.2553473781492561,-0.0046391313116429,-0.17925232386388568
1998-12-31,0.020792429121181177,0.03850178851562269,0.10488092941001614,-0.0170527962400085,-0.08408850028883497
1999-12-31,-0.05159839537445021,-0.03385457040632689,0.04085589658959199,-0.0183655839220664,-0.0924542919640422
2000-12-31,0.0024010397745508616,-0.007889989390569063,0.015310336331245011,0.0103728710073175,-0.01290929655669415
2001-12-31,-0.05456296758927359,-0.044088396825855636,-0.19436218481683132,-0.0109576771833679,0.13979921722755773
2002-12-31,0.16331887155315417,-0.10894484828590278,0.1970885389263779,0.30555204053903,-0.03376966737322373
2003-12-31,0.20260253375135973,0.08837040795769235,0.2963485277881519,0.104957030215496,-0.09374599403679218
2004-12-31,0.29051060082280444,0.09029573300681526,0.21427310490081508,0.183633542492033,0.07623749592198936
2005-12-31,0.20082442121864963,0.0885165992013437,0.21513918560906053,0.103175111982406,-0.014314764390410906
2006-12-31,0.22893967297640772,0.08047151500430272,0.20262735095163276,0.137410524859152,0.02631232202477496
2007-12-31,0.2529331218683941,0.09007650875047579,0.24465625611123687,0.149399250245835,0.008276865757157248
2008-12-31,0.28168506260856496,0.04057233103464064,0.08064699994431401,0.231711649813124,0.20103806266425095
2009-12-31,0.085489942603733,-0.05918525076349468,0.16999916269920679,0.153776493708921,-0.08450922009547379
2010-12-31,0.33158262035535135,0.1012539815610023,0.33778044239220195,0.20915124272046998,-0.006197822036850598
2011-12-31,0.3113056889620771,0.06003951692805787,0.2570053838467594,0.23703472183959298,0.05430030511531769
2012-12-31,0.21059415719259866,-0.010264204544320976,0.34901833418513784,0.223148806733049,-0.13842417699253917
2013-12-31,0.26930168340590166,0.02405323780794366,0.2702637204388394,0.239487984162746,-0.0009620370329377348
2014-12-31,0.3675820019384317,-0.02512615320813938,0.2984622718770069,0.402829716315506,0.0691197300614248
2015-12-31,0.3003709348376957,0.027311598282894423,0.39450227896351286,0.265799916024707,-0.09413134412581714
2016-12-31,0.3818363423336577,-0.02080327843778107,0.41584060891324226,0.411193799882279,-0.03400426657958455
2017-12-31,0.29557872834135046,0.028185029777591852,0.30119429186637503,0.260063792819079,-0.0056155635250245695
2018-12-31,0.3831608473019539,-0.02617396462820376,0.4740677999651137,0.420336689575031,-0.09090695266315985
2019-12-31,0.4621038290026849,-0.020008610028578455,0.2582682729002421,0.491955790596612,0.20383555610244275
2020-12-31,0.2621418296695457,-0.09900484813646404,0.6644278978529086,0.40083087801199296,-0.4022860681833629
2021-12-31,0.7032908460718776,0.10718009933709505,0.5126512805753953,0.538404499043736,0.1906395654964823
2022-12-31,0.7787086115930999,0.04956369960082352,0.849460127500637,0.6947123955121439,-0.07075151590753714
2023-12-31,1.3021417655682912,-0.015505015362025643,1.5642968360433542,1.33839867291437,-0.26215507047506303
