A̱o,divisa,equivalencia,M1
1940-12-31,m$n,1.0000000000000002e-13,2619200000.0
1941-12-31,m$n,1.0000000000000002e-13,3334900000.0
1942-12-31,m$n,1.0000000000000002e-13,3973700000.0
1943-12-31,m$n,1.0000000000000002e-13,4798700000.0
1944-12-31,m$n,1.0000000000000002e-13,5904600000.0
1945-12-31,m$n,1.0000000000000002e-13,6949000000.0
1946-12-31,m$n,1.0000000000000002e-13,8852800000.0
1947-12-31,m$n,1.0000000000000002e-13,11039600000.0
1948-12-31,m$n,1.0000000000000002e-13,15950000000.0
1949-12-31,m$n,1.0000000000000002e-13,19689100000.0
1950-12-31,m$n,1.0000000000000002e-13,24354000000.0
1951-12-31,m$n,1.0000000000000002e-13,29864100000.0
1952-12-31,m$n,1.0000000000000002e-13,33776399999.999992
1953-12-31,m$n,1.0000000000000002e-13,42611600000.0
1954-12-31,m$n,1.0000000000000002e-13,51565800000.0
1955-12-31,m$n,1.0000000000000002e-13,61161500000.0
1956-12-31,m$n,1.0000000000000002e-13,75254000000.0
1957-12-31,m$n,1.0000000000000002e-13,84002000000.0
1958-12-31,m$n,1.0000000000000002e-13,119023600000.0
1959-12-31,m$n,1.0000000000000002e-13,168041099999.99997
1960-12-31,m$n,1.0000000000000002e-13,217067099999.99997
1961-12-31,m$n,1.0000000000000002e-13,240818700000.0
1962-12-31,m$n,1.0000000000000002e-13,242829000000.0
1963-12-31,m$n,1.0000000000000002e-13,309049400000.0
1964-12-31,m$n,1.0000000000000002e-13,444024199999.99994
1965-12-31,m$n,1.0000000000000002e-13,555441200000.0
1966-12-31,m$n,1.0000000000000002e-13,740473100000.0001
1967-12-31,m$n,1.0000000000000002e-13,1006300000000.0
1968-12-31,m$n,1.0000000000000002e-13,1283000000000.0
1969-12-31,m$n,1.0000000000000002e-13,1427500000000.0
1970-12-31,$ Ley,1.0000000000000001e-11,17119000000.0
1971-12-31,$ Ley,1.0000000000000001e-11,22522000000.0
1972-12-31,$ Ley,1.0000000000000001e-11,31768000000.0
1973-12-31,$ Ley,1.0000000000000001e-11,63981000000.0
1974-12-31,$ Ley,1.0000000000000001e-11,104172000000.0
1975-12-31,$ Ley,1.0000000000000001e-11,303374000000.0
1976-12-31,$ Ley,1.0000000000000001e-11,1177791000000.0
1977-12-31,$ Ley,1.0000000000000001e-11,2954030000000.0
1978-12-31,$ Ley,1.0000000000000001e-11,7622061000000.0
1979-12-31,$ Ley,1.0000000000000001e-11,18682800000000.0
1980-12-31,$ Ley,1.0000000000000001e-11,37940100000000.0
1981-12-31,$ Ley,1.0000000000000001e-11,68773000000000.0
1982-12-31,$ Ley,1.0000000000000001e-11,217309000000000.0
1983-12-31,peso argentino,1.0000000000000001e-07,98896000000.0
1984-12-31,peso argentino,1.0000000000000001e-07,585084000000.0
1985-12-31,Australes,0.0001,5264403000.0
1986-12-31,Australes,0.0001,8690253156.0
1987-12-31,Australes,0.0001,16701669355.0
1988-12-31,Australes,0.0001,77540805274.0
1989-12-31,Australes,0.0001,3464507666000.0
1990-12-31,Pesos,1.0,3375144200.0
1991-12-31,Pesos,1.0,8710423000.0
1992-12-31,Pesos,1.0,12376863000.0
1993-12-31,Pesos,1.0,16485630000.0
1994-12-31,Pesos,1.0,17299990000.0
1995-12-31,Pesos,1.0,17086557000.0
1996-12-31,Pesos,1.0,20414345000.0
1997-12-31,Pesos,1.0,23838632000.0
1998-12-31,Pesos,1.0,24461831000.0
1999-12-31,Pesos,1.0,23799939517.41
2000-12-31,Pesos,1.0,22801914371.93
2001-12-31,Pesos,1.0,19414833000.0
2002-12-31,Pesos,1.0,31267876000.0
2003-12-31,Pesos,1.0,49417163000.0
2004-12-31,Pesos,1.0,64467648000.0
2005-12-31,Pesos,1.0,82064315000.0
2006-12-31,Pesos,1.0,98458207000.0
2007-12-31,Pesos,1.0,123930512000.0
2008-12-31,Pesos,1.0,144855921000.0
2009-12-31,Pesos,1.0,164192876000.0
2010-12-31,Pesos,1.0,223007230000.0
2011-12-31,Pesos,1.0,288766603000.0
2012-12-31,Pesos,1.0,397841567000.0
2013-12-31,Pesos,1.0,496727726000.0
2014-12-31,Pesos,1.0,640869923000.0
2015-12-31,Pesos,1.0,804666231000.0
2016-12-31,Pesos,1.0,1033907652000.0
2017-12-31,Pesos,1.0,1243333674000.0
2018-12-31,Pesos,1.0,1514752312000.0
2019-12-31,Pesos,1.0,1952281828000.0
2020-12-31,Pesos,1.0,3396051876000.0
2021-12-31,Pesos,1.0,5393072144000.0
2022-12-31,Pesos,1.0,8539672644000.0
2023-12-31,Pesos,1.0,19101653637000.0
2024-12-31,Pesos,1.0,0.0
